YYYY,MM2,JULIAN,DENSyc,GRID,HANDLER_FIELD,MeanTemp,TotPrecip,ID,SEXc,AGEc,REPRO1,REPROc,MASS_FIELD,DENSd,F_LOAD,B_LOAD,M_LOAD,T_LOAD,LAB,OF_dist,OF_GROOM_t,OF_TIME_MIN,TIME_CAPT,MASS_LAB
2016,5,148,0.5,cow,jv,22.5,0,A083,0.5,-0.5,non,-0.5,18.5,9,0,0,0,0,y,1972.67,401.6,592,402,18.1
2016,5,148,0.5,cow,sn,22.5,0,A084,-0.5,-0.5,non,-0.5,11,9,0,0,0,0,y,9318.04,7.68,520,407,10.26
2016,5,148,0.5,cow,jv,22.5,0,A027,0.5,-0.5,non,-0.5,25,9,0,0,0,0,y,5224.26,25.6,543,425,23.87
2016,5,148,0.5,cow,jv,22.5,0,A036,-0.5,-0.5,non,-0.5,13.5,9,0,0,0,0,n,NA,NA,NA,453,NA
2016,5,148,0.5,cow,jv,22.5,0,A085,-0.5,-0.5,non,-0.5,15.67,9,0,0,0,0,y,13817.2,12.88,557,465,15.67
2016,5,148,0.5,cow,hp,22.5,0,A072,-0.5,-0.5,non,-0.5,15.5,9,0,0,0,0,y,2764,263.36,530,373,15.57
2016,5,149,0.5,cow,hp,24,0,A086,-0.5,0.5,preg,0.5,24.5,13,0,0,0,0,n,NA,NA,NA,373,NA
2016,5,149,0.5,cow,sn,24,0,A087,0.5,0.5,scro,0.5,26,13,0,0,0,1,y,5344.69,35.84,525,376,25.46
2016,5,149,0.5,cow,jv,24,0,A036,-0.5,-0.5,non,-0.5,13.5,13,0,0,0,0,n,NA,NA,NA,379,NA
2016,5,149,0.5,cow,jv,24,0,A002,-0.5,0.5,preg,0.5,33.5,13,0,0,0,0,n,NA,NA,NA,395,NA
2016,5,149,0.5,cow,sn,24,0,A088,0.5,0.5,scro,0.5,26.5,13,0,0,0,0,y,5631.07,149.68,540,406,25.78
2016,5,149,0.5,cow,hp,24,0,A077,-0.5,0.5,preg,0.5,26.5,13,0,0,0,0,n,NA,NA,NA,409,NA
2016,5,149,0.5,cow,jv,24,0,A019,-0.5,0.5,lact,0.5,24.5,13,0,0,0,0,n,NA,NA,NA,421,NA
2016,5,149,0.5,cow,sn,24,0,A084,-0.5,-0.5,non,-0.5,10,13,0,0,0,0,n,NA,NA,NA,432,NA
2016,5,149,0.5,cow,jv,24,0,A026,-0.5,0.5,non,-0.5,29,13,0,0,0,0,n,NA,NA,NA,433,NA
2016,5,149,0.5,cow,hp,24,0,A089,0.5,0.5,non,-0.5,23.5,13,0,0,0,0,y,4536.8,71.12,554,439,23.35
2016,5,149,0.5,cow,sn,24,0,A075,0.5,0.5,non,-0.5,19.5,13,0,0,0,0,n,NA,NA,NA,442,NA
2016,5,149,0.5,cow,sn,24,0,A079,0.5,-0.5,non,-0.5,15.5,13,0,0,0,0,n,NA,NA,NA,454,NA
2016,5,149,0.5,cow,jv,24,0,A090,-0.5,0.5,preg,0.5,30,13,0,0,0,0,n,NA,NA,NA,454,NA
2016,5,150,0.5,cow,jv,24,0,A091,-0.5,-0.5,non,-0.5,13,16,0,0,0,0,y,5497.73,24.88,553,378,12.36
2016,5,150,0.5,cow,hp,24,0,A092,-0.5,-0.5,non,-0.5,16.5,16,0,0,0,0,y,7675.41,129.2,573,380,16.74
2016,5,150,0.5,cow,sn,24,0,A093,-0.5,0.5,lact,0.5,26.5,16,0,0,0,0,n,NA,NA,NA,384,NA
2016,5,150,0.5,cow,jv,24,0,A019,-0.5,0.5,vulv,0.5,21,16,0,0,0,0,n,NA,NA,NA,400,NA
2016,5,150,0.5,cow,hp,24,0,A094,-0.5,-0.5,non,-0.5,14.5,16,0,0,0,0,y,8310.78,266.96,592,410,14.66
2016,5,150,0.5,cow,sn,24,0,A095,0.5,0.5,non,-0.5,25,16,0,0,0,1,y,6928.69,71.44,535,410,24.23
2016,5,150,0.5,cow,jv,24,0,A085,-0.5,-0.5,non,-0.5,16.5,16,0,0,0,0,n,NA,NA,NA,427,NA
2016,5,150,0.5,cow,sn,24,0,A096,-0.5,0.5,lact,0.5,37,16,0,0,0,0,n,NA,NA,NA,436,NA
2016,5,150,0.5,cow,jv,24,0,A054,-0.5,0.5,preg,0.5,30,16,0,0,0,0,n,NA,NA,NA,448,NA
2016,5,150,0.5,cow,sn,24,0,A097,0.5,0.5,scro,0.5,25.5,16,0,0,0,0,y,8353.67,135.28,631,458,24.77
2016,5,150,0.5,cow,hp,24,0,A098,0.5,0.5,scro,0.5,25.5,16,0,0,2,0,y,6224.35,92.32,646,460,23.41
2016,5,150,0.5,cow,sn,24,0,A099,-0.5,-0.5,non,-0.5,18.5,16,0,0,0,0,y,2876.87,86.96,660,476,17.81
